t	u	v	x	y
2.20722	0.714452	0.386689	0.386689	0.386689
2.20773	0.781741	0.38733	0.38733	0.38733
2.20824	0.842144	0.38802	0.38802	0.38802
2.20875	0.892329	0.388751	0.388751	0.388751
2.20934	0.936354	0.389648	0.389648	0.389648
2.20994	0.965694	0.390579	0.390579	0.390579
2.21053	0.983711	0.39153	0.39153	0.39153
2.21113	0.99429	0.392495	0.392495	0.392495
2.21172	1.00042	0.393466	0.393466	0.393466
2.21263	1.00493	0.394957	0.394957	0.394957
2.21354	1.00633	0.396452	0.396452	0.396452
2.21445	1.0065	0.397948	0.397948	0.397948
2.21536	1.00614	0.399443	0.399443	0.399443
2.21627	1.00539	0.400937	0.400937	0.400937
2.21865	1.00286	0.404848	0.404848	0.404848
2.22104	1.00009	0.408749	0.408749	0.408749
2.22342	0.997425	0.41264	0.41264	0.41264
2.2258	0.994825	0.416522	0.416522	0.416522
2.23858	0.980739	0.437086	0.437086	0.437086
2.25135	0.96633	0.457379	0.457379	0.457379
2.26413	0.951498	0.477389	0.477389	0.477389
2.29928	0.907516	0.531036	0.531036	0.531036
2.33444	0.857353	0.582261	0.582261	0.582261
2.3619	0.81018	0.620285	0.620285	0.620285
2.38013	0.771052	0.644347	0.644347	0.644347
2.39178	0.73899	0.6591	0.6591	0.6591
2.39948	0.71134	0.668512	0.668512	0.668512
2.40485	0.685973	0.674868	0.674868	0.674868
2.40871	0.661884	0.679281	0.679281	0.679281
2.41162	0.637602	0.682515	0.682515	0.682515
2.41386	0.612782	0.684915	0.684915	0.684915
2.41562	0.58692	0.686739	0.686739	0.686739
2.41705	0.559607	0.688152	0.688152	0.688152
2.41847	0.523	0.689497	0.689497	0.689497
2.41942	0.491061	0.690348	0.690348	0.690348
2.42037	0.449998	0.691147	0.691147	0.691147
2.42108	0.411383	0.691702	0.691702	0.691702
2.42179	0.363648	0.69221	0.69221	0.69221
2.42238	0.31574	0.692589	0.692589	0.692589
2.42297	0.258941	0.692922	0.692922	0.692922
2.42356	0.19286	0.6932	0.6932	0.6932
2.42404	0.132115	0.693383	0.693383	0.693383
2.42435	0.0917296	0.693475	0.693475	0.693475
2.42458	0.060763	0.693532	0.693532	0.693532
2.4248	0.0300611	0.693575	0.693575	0.693575
2.42489	0.0177239	0.693591	0.693591	0.693591
2.42496	0.00925603	0.6936	0.6936	0.6936
2.425	0.00375641	0.693606	0.693606	0.693606
2.42502	0.000449039	0.693609	0.693609	0.693609
2.42505	-0.00284954	0.693613	0.693613	0.693613
2.42507	-0.00613887	0.693616	0.693616	0.693616
2.42515	-0.016165	0.693625	0.693625	0.693625
2.42522	-0.0260864	0.693632	0.693632	0.693632
2.4253	-0.0358857	0.693639	0.693639	0.693639
2.42537	-0.0455465	0.693645	0.693645	0.693645
2.42562	-0.0761713	0.693656	0.693656	0.693656
2.42587	-0.104667	0.693655	0.693655	0.693655
2.42612	-0.130665	0.693645	0.693645	0.693645
2.42637	-0.153932	0.693625	0.693625	0.693625
2.42662	-0.174383	0.693598	0.693598	0.693598
2.42721	-0.211976	0.693505	0.693505	0.693505
2.4278	-0.236532	0.693385	0.693385	0.693385
2.42839	-0.251774	0.693248	0.693248	0.693248
2.42898	-0.260947	0.6931	0.6931	0.6931
2.42957	-0.266206	0.692947	0.692947	0.692947
2.43016	-0.268929	0.692789	0.692789	0.692789
2.43089	-0.270286	0.692592	0.692592	0.692592
2.43163	-0.270512	0.692393	0.692393	0.692393
2.43236	-0.270249	0.692195	0.692195	0.692195
2.43309	-0.269725	0.691997	0.691997	0.691997
2.43383	-0.269019	0.6918	0.6918	0.6918
2.43456	-0.268217	0.691603	0.691603	0.691603
2.43715	-0.26511	0.690916	0.690916	0.690916
2.43974	-0.262139	0.690241	0.690241	0.690241
2.44233	-0.259172	0.689577	0.689577	0.689577
2.44492	-0.256041	0.688926	0.688926	0.688926
2.44752	-0.25283	0.688287	0.688287	0.688287
2.45275	-0.246407	0.687033	0.687033	0.687033
2.45799	-0.239928	0.68583	0.68583	0.68583
2.46322	-0.233351	0.684679	0.684679	0.684679
2.46846	-0.226665	0.683579	0.683579	0.683579
2.49093	-0.196726	0.679481	0.679481	0.679481
2.51341	-0.164311	0.676438	0.676438	0.676438
2.53061	-0.137071	0.674877	0.674877	0.674877
2.54447	-0.112889	0.674153	0.674153	0.674153
2.55833	-0.0859868	0.673962	0.673962	0.673962
2.56226	-0.0777143	0.67401	0.67401	0.67401
2.56618	-0.0690172	0.674108	0.674108	0.674108
2.57011	-0.0598561	0.674258	0.674258	0.674258
2.57403	-0.0501569	0.674464	0.674464	0.674464
2.57976	-0.0347867	0.674872	0.674872	0.674872
2.58548	-0.0174603	0.67542	0.67542	0.67542
2.58931	-0.00436833	0.675873	0.675873	0.675873
2.59077	0.00105497	0.676067	0.676067	0.676067
2.59223	0.00676644	0.676272	0.676272	0.676272
2.59369	0.0128069	0.676491	0.676491	0.676491
2.59515	0.0192265	0.676723	0.676723	0.676723
2.59661	0.0260894	0.676969	0.676969	0.676969
2.59915	0.0393739	0.677437	0.677437	0.677437
2.60169	0.0549034	0.67796	0.67796	0.67796
2.60424	0.0737073	0.678548	0.678548	0.678548
2.60678	0.0976523	0.679217	0.679217	0.679217
2.60874	0.12166	0.679803	0.679803	0.679803
2.6107	0.153838	0.680473	0.680473	0.680473
2.61219	0.186781	0.68105	0.68105	0.68105
2.61367	0.23234	0.681714	0.681714	0.681714
2.61483	0.282091	0.68232	0.68232	0.68232
2.616	0.351266	0.683029	0.683029	0.683029
2.61716	0.448914	0.683883	0.683883	0.683883
2.61833	0.581148	0.684936	0.684936	0.684936
2.6191	0.684794	0.685773	0.685773	0.685773
2.61988	0.788065	0.686731	0.686731	0.686731
2.62065	0.875585	0.687801	0.687801	0.687801
2.62142	0.937023	0.688959	0.688959	0.688959
2.6222	0.973681	0.690172	0.690172	0.690172
2.62279	0.988937	0.691125	0.691125	0.691125
2.62338	0.997438	0.692089	0.692089	0.692089
2.62398	1.00202	0.69306	0.69306	0.69306
2.62457	1.00443	0.694033	0.694033	0.694033
2.62532	1.00575	0.695262	0.695262	0.695262
2.62607	1.006	0.696492	0.696492	0.696492
2.62682	1.00575	0.697723	0.697723	0.697723
2.62757	1.00527	0.698952	0.698952	0.698952
2.62971	1.00328	0.70247	0.70247	0.70247
2.63185	1.00101	0.70598	0.70598	0.70598
2.634	0.998639	0.709483	0.709483	0.709483
2.64418	0.987127	0.725966	0.725966	0.725966
2.65437	0.975316	0.742272	0.742272	0.742272
2.66455	0.963124	0.758394	0.758394	0.758394
2.69468	0.924039	0.805028	0.805028	0.805028
2.72482	0.879178	0.849806	0.849806	0.849806
2.74976	0.833808	0.885186	0.885186	0.885186
2.76786	0.792315	0.909696	0.909696	0.909696
2.77939	0.758238	0.924645	0.924645	0.924645
2.7872	0.728075	0.934396	0.934396	0.934396
2.7926	0.700706	0.940909	0.940909	0.940909
2.79646	0.674933	0.945411	0.945411	0.945411
2.79934	0.649567	0.948658	0.948658	0.948658
2.80158	0.623478	0.951099	0.951099	0.951099
2.80334	0.596506	0.952949	0.952949	0.952949
2.80476	0.568241	0.954377	0.954377	0.954377
2.80592	0.53831	0.955501	0.955501	0.955501
2.80709	0.499112	0.956563	0.956563	0.956563
2.8079	0.464048	0.957261	0.957261	0.957261
2.80872	0.419884	0.95791	0.95791	0.95791
